gram,counts
19 test,15391
years ago,15360
coronavirus mundo,15352
000 coronavirus,15348
coronavirus travel,15314
frente coronavirus,15313
casos sospechosos,15221
covid covid19,15176
em casa,15126
need help,15119
getting coronavirus,15102
rest world,15047
hit coronavirus,15044
people get,15010
high risk,14861
síntomas coronavirus,14854
johns hopkins,14854
positive covid19,14850
warns coronavirus,14842
state emergency,14819
infectious disease,14810
federal government,14806
du covid,14754
fear coronavirus,14742
safe coronavirus,14725
ministerio salud,14721
coronavirus kills,14719
china amid,14667
please take,14665
news via,14629
treat coronavirus,14627
coronavirus come,14603
virus wuhan,14590
symptoms coronavirus,14579
coronavirus treatment,14566
small businesses,14557
19 update,14552
abc news,14522
coronavirus many,14516
coronavirus brasil,14509
economic impact,14506
please share,14506
tell us,14501
coronavirus oms,14496
nhs staff,14473
anyone else,14467
come back,14461
du covid19,14460
disease 2019,14442
il virus,14416
sounds like,14403
non si,14398
people like,14384
back work,14367
coronavirus france,14324
virus covid19,14316
regarding coronavirus,14285
aujourd hui,14276
fatality rate,14249
march 2020,14237
cada vez,14174
pandemic coronavirus,14134
twitter android,14113
casos positivos,14107
even though,14069
est une,14065
using coronavirus,14038
top story,14002
south africa,13999
seems like,13994
health experts,13993
coronavirus still,13981
coronavirus says,13971
pandemic via,13968
qu ils,13959
travel restrictions,13927
help coronavirus,13925
death coronavirus,13909
covid19 corona,13906
friends colleagues,13884
tener coronavirus,13875
ceux qui,13851
many cases,13808
coronavirus iran,13805
wuhan city,13801
นธ ใหม,13774
coronavirus chine,13620
stay away,13619
janta curfew,13612
coronavirus da,13548
truth coronavirus,13540
ils ont,13535
suspected cases,13534
per coronavirus,13515
business insider,13497
long term,13457
made china,13429
quarantined cruise,13426
last year,13424
covid19 sarscov2,13397
coronavirus emergency,13380
covid19 virus,13378
via scmpnews,13377
going get,13372
coronavirus coronaoutbreak,13367
colleagues friends,13343
one thing,13331
wear mask,13286
000 deaths,13279
confirmados coronavirus,13272
cdc says,13250
cases deaths,13242
19 testing,13217
italian friends,13212
share support,13170
times share,13125
casi di,13103
washing hands,13087
coronavirus llega,13073
family cari,13066
stimulus package,13062
italy trying,13061
home order,13061
stand italy,13043
via googlenews,13035
please read,13029
middle east,13028
est ce,13014
testing positive,13000
support italian,12990
number people,12979
thank god,12979
non essential,12960
global emergency,12956
coronavirus fight,12952
coronavirusoutbreak covid19,12947
deadly virus,12914
tiempo real,12909
muerte coronavirus,12882
incubation period,12881
today coronavirus,12871
dalla cina,12870
van het,12866
get sick,12856
keep safe,12850
day coronavirus,12836
coronavirus real,12815
deliver copy,12778
last delivered,12774
virus spread,12770
covid19 covid,12761
san diego,12755
000 000,12727
information coronavirus,12716
peor coronavirus,12704
man made,12701
covid19 patients,12687
people tested,12670
officials last,12657
caso sospechoso,12633
coronavirus victims,12617
nouveaux cas,12600
mata coronavirus,12599
people still,12588
negative coronavirus,12584
deal coronavirus,12584
copy officials,12580
infected people,12579
across country,12572
wuhan hospital,12535
tested negative,12532
qu on,12509
penyebaran covid,12508
good job,12479
watch live,12472
get back,12450
coronavirus ahora,12436
called coronavirus,12428
new zealand,12423
lucha coronavirus,12415
front lines,12392
people people,12386
health crisis,12379
joe biden,12377
coronavirus solo,12373
américa latina,12356
primera muerte,12344
emergencia sanitaria,12341
people china,12302
coronavirus south,12265
swine flu,12248
herd immunity,12222
coronavirus venezuela,12215
coronavirus need,12214
ci sono,12196
city wuhan,12186
coronavirus video,12145
vía el_pais,12136
protective equipment,12127
self isolating,12088
coronavirus briefing,12074
declara emergencia,12058
coronavirus even,12051
ke wuhan,12050
home stay,12045
testing kits,12040
battle coronavirus,12038
nouveau coronavirus,12035
19 lockdown,11955
china says,11940
contro il,11935
fuck coronavirus,11930
pandemia covid,11927
postponed due,11913
new year,11903
coronavirus stop,11900
coronavirus hoax,11835
via nbcnews,11834
fallecidos coronavirus,11817
conspiracy theories,11817
daily coronavirus,11797
emergencia internacional,11795
sospechoso coronavirus,11793
updates coronavirus,11792
stay at,11776
ne pas,11775
10 días,11768
panic buying,11760
dal coronavirus,11734
pacientes coronavirus,11731
via nytimes,11695
coronavirus know,11681
ce qui,11676
contagiados coronavirus,11638
oms declara,11623
covid19 china,11614
new jersey,11606
realdonaldtrump coronavirus,11598
lot people,11583
da positivo,11576
dem coronavirus,11571
supply chains,11559
prepare coronavirus,11519
flu coronavirus,11480
coronavirus numbers,11448
uk government,11444
hospital coronavirus,11430
young people,11430
join us,11426
sistema salud,11390
stay healthy,11357
lockdown coronavirus,11338
wni dari,11312
house coronavirus,11304
great job,11300
peut être,11296
cases new,11276
spanish flu,11269
via franceinfo,11248
first confirmed,11237
updates china,11237
coronavirus go,11228
ministro salud,11223
confirma primer,11216
every time,11215
help people,11212
19 situation,11211
mundial salud,11179
coronavirus crucero,11170
19 deaths,11163
toll coronavirus,11145
coronavirus coming,11136
coronavirus declared,11131
der coronavirus,11110
trump said,11109
